"attribute_id","entity_id","value","sku"
"97","154513","bauer-sup-3s-pro-glv-int","1058648"
"97","156139","bauer-s21-vap-yth","1058977"
"97","156105","bauer-sling-stk-int","1059098"
"97","156114","bauer-sling-stk-jr","1059100"
"97","156167","bauer-vap-3x-pro-stk-sr","1059189"
"97","156614","bauer-core-short-3-0","1059323"
"97","154919","bauer-sup-gs-sp-sr","1059528"
"97","154907","bauer-sup-gs-sp-int","1059529"
"97","154911","bauer-sup-gs-sp-jr","1059530"
"97","154789","bauer-supreme-gs-ep-sr","1059531"
"97","154783","bauer-supreme-gs-ep-int","1059532"
"97","154786","bauer-supreme-gs-ep-jr","1059533"
"97","154849","bauer-supreme-gs-sg-sr","1059534"
"97","154844","bauer-supreme-gs-sg-int","1059535"
